StateCode,State,County,Year,Month,NO2 Mean,O3 Mean,SO2,CO
AZ,Arizona,Maricopa,2009,1,23.42214198,0.012288295,1.919748682,0.642918591
AZ,Arizona,Maricopa,2009,2,21.48653028,0.018302699,1.40454,0.57258862
AZ,Arizona,Maricopa,2009,3,19.0592966,0.027953398,1.47670443,0.437995823
AZ,Arizona,Maricopa,2009,4,18.15533432,0.035131529,1.621032793,0.462507504
AZ,Arizona,Maricopa,2009,5,15.28354875,0.0344771,0.950130483,0.428682108
AZ,Arizona,Maricopa,2009,6,13.31274248,0.030181543,0.805873239,0.368023543
AZ,Arizona,Maricopa,2009,7,9.721253194,0.038037565,0.479050202,0.36404571
AZ,Arizona,Maricopa,2009,8,14.69088442,0.031535629,1.822153556,0.433202694
AZ,Arizona,Maricopa,2009,9,14.68854328,0.030664333,1.878794822,0.2881233
AZ,Arizona,Maricopa,2009,10,19.71179713,0.022690366,0.803450989,0.363575403
AZ,Arizona,Maricopa,2009,11,25.94221746,0.013947722,1.736878867,0.664747122
AZ,Arizona,Maricopa,2009,12,24.79899983,0.012408796,1.807154452,0.659501204
AZ,Arizona,Maricopa,2010,1,22.20258925,0.01650927,1.763021197,0.561752652
AZ,Arizona,Maricopa,2010,2,19.45675777,0.019703821,1.241161774,0.397254768
AZ,Arizona,Maricopa,2010,3,16.34181465,0.027636957,1.257369484,0.379894774
AZ,Arizona,Maricopa,2010,4,14.55652069,0.035398446,1.163151897,0.362927545
AZ,Arizona,Maricopa,2010,5,15.06092137,0.037798935,1.224958177,0.340080065
AZ,Arizona,Maricopa,2010,6,13.36685885,0.036463641,1.095059962,0.259336859
AZ,Arizona,Maricopa,2010,7,6.713617205,0.03863241,0.908884833,0.208173103
AZ,Arizona,Maricopa,2010,8,11.60336302,0.032933435,1.192294403,0.245557613
AZ,Arizona,Maricopa,2010,9,18.17758027,0.028424484,1.585627594,0.352844523
AZ,Arizona,Maricopa,2010,10,17.54935154,0.02339929,1.031429043,0.37643607
AZ,Arizona,Maricopa,2010,11,22.3194204,0.017109756,1.460402739,0.560916806
AZ,Arizona,Maricopa,2010,12,24.89449283,0.010312645,1.848964038,0.702650608
AZ,Arizona,Maricopa,2011,1,28.58449572,0.01181082,1.51645868,0.84082941
AZ,Arizona,Maricopa,2011,2,22.07356368,0.020480714,0.906765241,0.566674429
AZ,Arizona,Maricopa,2011,3,22.17337246,0.025705609,1.174495087,0.427528217
AZ,Arizona,Maricopa,2011,4,11.99230936,0.038865333,1.049263423,0.241606231
AZ,Arizona,Maricopa,2011,5,12.37188076,0.03914332,0.99836479,0.23971562
AZ,Arizona,Maricopa,2011,6,16.37055967,0.0356917,0.9269089,0.276542867
AZ,Arizona,Maricopa,2011,7,9.743294033,0.037332,0.50694805,0.20298005
